y	st	lat	lon	col	prod	pob	area					
1994	WI	44.59897778	-89.68231111	75	5325	5095504	16963.9					
1994	WY	43.07391389	-107.56	46	3174	474982	25333.6					
1995	AL	32.46189917	-86.79523056	16	928	4263125	13576.5					
1995	AZ	34.20952778	-111.0595278	52	4108	4306908	28635.1					
1995	ARK	34.41672972	-92.45006306	50	3000	2480121	13773.2					
1995	CAL	37.75058917	-120.0505889	420	39060	31493525	42397					
1995	COLO	38.96655833	-105.0998889	45	2700	3738061	26960.1					
1995	FLA	28.83524083	-81.91857417	230	19780	14185403	17030.4					
1995	GA	32.67768111	-83.52768056	70	4340	7188538	14999.8					
1995	HAW	19.51250278	-155.0625	8	1032	1180490	2831.1					
1995	ID	39.93660444	-86.21993611	125	6000	1165000	216.446					
1995	ILL	40.07544444	-89.30877778	11	814	11884935	14999.8					
1995	IND	39.86693611	-86.14471389	12	756	5791819	94.321					
1995	IOWA	41.93358056	-93.48358056	50	3400	2840860	14574.3					
1995	KS	38.43878889	-98.40545556	17	1139	2586942	21309.6					
1995	KY	37.43447222	-85.09002778	3	132	3855248	10465.9					
1995	LA	31.39494444	-92.51678611	33	3927	4327978	13426.4					
1995	ME	45.45910278	-69.22576944	11	495	1243480	91.646					
1995	MI	44.34451944	-84.69451944	97	8924	9659871	25049.4					
1995	MN	46.37010556	-94.67010556	165	13530	4605445	22517.1					
1995	MS	32.77700556	-89.66033889	16	1120	2690788	12543.4					
1995	MO	38.43345278	-92.51678611	23	1541	5324610	18053.3					
1995	MT	47.19634167	-109.0463333	106	8480	868522	38083.8					
1995	NE	41.36925833	-99.635925	60	4380	1635142	20034.5					
1995	NJ	40.21587222	-74.49920556	8	272	7965523	2258.8					
1995	NY	43.17661667	-75.50995	70	5250	18150928	14129.9					
1995	NC	35.64380278	-79.37713611	12	624	7185403	13938.9					
1995	ND	47.43108889	-100.0527222	220	23760	641548	18311.2					
1995	OH	40.29351111	-82.82684444	25	1550	11155493	11609.6					
1995	OR	43.87287222	-120.0895278	52	2704	3141421	25480.5					
1995	PA	40.82463056	-77.64129722	25	1075	12044780	119.283					
1995	SD	44.47313333	-100.0231111	240	20400	728251	19973.1					
1995	TN	35.85901389	-86.47430556	4	212	5241168	10915.1					
1995	TX	31.58439444	-99.21844444	84	8904	18679706	69562.1					
1995	UT	39.44435556	-111.061	32	1056	1976774	21988.7					
1995	VT	44.15561667	-72.06024167	5	335	582827	2490.1					
1995	VA	37.55003056	-78.783875	9	405	6601392	11078.5					
1995	WA	47.41219444	-120.0288611	60	3540	5431024	18466.5					
1995	WV	38.72501944	-80.54168611	13	533	1820560	6275.5					
1995	WI	44.59897778	-89.68231111	73	5767	5137004	16963.9					
1995	WY	43.07391389	-107.56	38	1368	478447	25333.6					
1996	AL	32.46189917	-86.79523056	16	124	4290678	13576.5					
1996	AZ	34.20952778	-111.0595278	32	1920	4432308	28635.1					
1996	ARK	34.41672972	-92.45006306	40	3360	2504858	13773.2					
1996	CAL	37.75058917	-120.0505889	390	27300	31780829	42397					
1996	COLO	38.96655833	-105.0998889	30	2220	3812716	26960.1					
1996	FLA	28.83524083	-81.91857417	240	25200	14426911	17030.4					
1996	GA	32.67768111	-83.52768056	75	5100	7332225	14999.8					
1996	HAW	19.51250278	-155.0625	8	1240	1184434	2831.1					
1996	ID	39.93660444	-86.21993611	110	4950	1187706	216.446					
1996	ILL	40.07544444	-89.30877778	11	814	11953003	14999.8					
1996	IND	39.86693611	-86.14471389	9	675	5834908	94.321					
1996	IOWA	41.93358056	-93.48358056	58	3886	2848473	14574.3					
1996	KS	38.43878889	-98.40545556	16	816	2598266	21309.6					
1996	KY	37.43447222	-85.09002778	3	180	3881051	10465.9					
1996	LA	31.39494444	-92.51678611	37	3922	4338763	13426.4					
1996	ME	45.45910278	-69.22576944	10	230	1249060	91.646					
1996	MI	44.34451944	-84.69451944	90	8640	9739184	25049.4					
1996	MN	46.37010556	-94.67010556	150	11550	4647723	22517.1					
1996	MS	32.77700556	-89.66033889	17	1360	2709925	12543.4					
1996	MO	38.43345278	-92.51678611	22	1628	5367888	18053.3					
1996	MT	47.19634167	-109.0463333	117	7020	876656	38083.8					
1996	NE	41.36925833	-99.635925	65	4875	1647657	20034.5					
1996	NJ	40.21587222	-74.49920556	5	225	8009624	2258.8					
1996	NY	43.17661667	-75.50995	68	5440	18143805	14129.9					
